L1;L2;L3;L4;L5;L6;L7;L8
dance music;club/dance music;electronic dance music;trance;psychedelic trance;offbeat psytrance;;
dance music;club/dance music;electronic dance music;trance;psychedelic trance;progressive psytrance;zenonesque;
dance music;club/dance music;electronic dance music;trance;psychedelic trance;psybreaks;;
dance music;club/dance music;electronic dance music;trance;psychedelic trance;psystyle;;
dance music;club/dance music;electronic dance music;trance;psychedelic trance;psytech;;
dance music;club/dance music;electronic dance music;trance;psychedelic trance;suomisaundi;;
dance music;club/dance music;electronic dance music;trance;psychedelic trance;tribal psytrance;;
dance music;club/dance music;electronic dance music;trance;psychedelic trance;uplifting psy;;
dance music;club/dance music;electronic dance music;trance;raw trance;;;
dance music;club/dance music;electronic dance music;trance;tech trance;;;
dance music;club/dance music;electronic dance music;trance;tranceira;;;
dance music;club/dance music;electronic dance music;trance;uplifting trance;;;
dance music;club/dance music;electronic dance music;trance;vocal trance;;;
dance music;club/dance music;electronic dance music;tribal guarachero;;;;
dance music;club/dance music;electronic dance music;UK funky;funkstep;;;
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;autonomic;
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;brostep;briddim
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;brostep;colour bass
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;brostep;dariacore
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;brostep;deathstep
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;brostep;drumstep
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;brostep;riddim
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;brostep;tearout brostep
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;chillstep;
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;dungeon sound;
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;grime;Burban
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;grime;Finnish grime
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;grime;grindie
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;grime;neo-grime
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;grime;rhythm & grime
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;grime;sinogrime
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;grime;weightless
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;melodic dubstep;colour bass
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;nightstep;
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;purple sound;
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;reggaestep;
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;riddim;colour bass
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;riddim;future riddim
dance music;club/dance music;electronic dance music;UK garage;2-step garage;dubstep;tearout dubstep;riddim
dance music;club/dance music;electronic dance music;UK garage;bassline;UK jackin';;
dance music;club/dance music;electronic dance music;UK garage;breakstep;;;
dance music;club/dance music;electronic dance music;UK garage;future garage;autonomic;;
dance music;club/dance music;electronic dance music;UK garage;future garage;post-dubstep;;
dance music;club/dance music;electronic dance music;UK garage;grime;Burban;;
dance music;club/dance music;electronic dance music;UK garage;grime;Finnish grime;;
dance music;club/dance music;electronic dance music;UK garage;grime;grindie;;
dance music;club/dance music;electronic dance music;UK garage;grime;neo-grime;;
dance music;club/dance music;electronic dance music;UK garage;grime;rhythm & grime;;
dance music;club/dance music;electronic dance music;UK garage;grime;sinogrime;;
dance music;club/dance music;electronic dance music;UK garage;grime;weightless;;
dance music;club/dance music;electronic dance music;UK garage;speed garage;;;
dance music;club/dance music;electronic dance music;US-Dancefloor;;;;
dance music;club/dance music;electronic dance music;Vocaloid music;;;;
dance music;club/dance music;electronic dance music;wonky;aquacrunk;;;
dance music;club/dance music;electronic dance music;wonky;post-dubstep;;;
dance music;club/dance music;Miami bass;Atlanta bass;;;;
dance music;club/dance music;Miami bass;tamborzão;;;;
dance music;club/dance music;Miami bass;techno bass;car audio bass;;;
dance music;club/dance music;post-disco;boogie;;;;
dance music;club/dance music;underground dance music;;;;;
dance music;club/dance music;wa euro;;;;;
dance music;csárdás;;;;;;
dance music;dance band music;;;;;;
dance music;folk dance music;Armenian folk dance song;;;;;
dance music;folk dance music;contra dance music;;;;;
dance music;folk dance music;gammeldansmusikk;;;;;
dance music;folk dance music;jig;;;;;
dance music;folk dance music;Khmer dance music;;;;;
dance music;folk dance music;kitchen dance music;;;;;
dance music;folk dance music;oberek;;;;;
dance music;folk dance music;Scottish country dance music;;;;;
dance music;folk dance music;square dance music;;;;;
dance music;folk dance music;tyrolienne;;;;;
dance music;folk dance music;Țara Călatei folk music and dance;;;;;
dance music;forró;electronic forró;forró de favela;;;;
dance music;forró;electronic forró;pisadinha;piseiro;;;
dance music;forró;forró double meaning;;;;;
dance music;forró;forró universitário;;;;;
dance music;foxtrot;;;;;;
dance music;funaná;;;;;;
dance music;jota;baile Chocoana;;;;;
dance music;jota;Biscayan jota;;;;;
dance music;jota;Castilian jotas;jota segoviana;;;;
dance music;jota;Jota Aragonese;;;;;
dance music;jota;Jota asturiana;;;;;
dance music;jota;Jota extremeña;;;;;
dance music;jota;Jota gallega;;;;;
dance music;jota;Jota in Catalonia;;;;;
dance music;jota;Jota leonesa;;;;;
dance music;jota;Jota manchega;;;;;
dance music;jota;Jota montañesa;;;;;
dance music;jota;Jota murciana;;;;;
dance music;jota;Jota riojana;;;;;
dance music;jota;Jota valenciana;;;;;
dance music;jota;Jotas del Ebro;;;;;
dance music;jota;Maneo;;;;;
dance music;jota;Navarese jota;;;;;
dance music;Kamarinskaya;;;;;;
dance music;Korean traditional dance music;;;;;;
dance music;kozak;;;;;;
dance music;krakowiak;;;;;;
dance music;kujawiak;;;;;;
dance music;Latin dance music;biguine;wabap biguine;;;;
dance music;loure;;;;;;
dance music;makossa;;;;;;
dance music;mbolé;;;;;;
dance music;pastoral;;;;;;
dance music;polonaise;;;;;;
dance music;quadrille;;;;;;
dance music;retro-swing;;;;;;
dance music;salsa;Cuban salsa;;;;;
dance music;salsa;salsa choke;;;;;
dance music;salsa;salsa dura;;;;;
dance music;salsa;salsa romántica;;;;;
dance music;salsa;timba;;;;;
dance music;tango;Argentine tango;;;;;
dance music;tango;European tango;;;;;
dance music;tango;neotango;;;;;
dance music;tango;nuevo tango;;;;;
dance music;tango;tango para chicos;;;;;
dance music;tango;tango rock;;;;;
dance music;tango;tango romanza;;;;;
dance music;tarantella;tammurriata;;;;;
dance music;tarantella;tarantella napoletana;;;;;
dance music;vocadance;;;;;;
Doo-wop;Pop;Art Pop;;;;;
Doo-wop;Pop;Dance-pop;;;;;
Doo-wop;Pop;Pop Rock;Britpop;Britpop revival;;;
Doo-wop;Pop;Pop Rock;Britpop;neo-glam;;;
Doo-wop;Pop;Pop Rock;Power Pop;modern power pop;;;
Doo-wop;Pop;Synth-pop;;;;;
drinking song;carnavalskraker;;;;;;
Dōjin music;J-core;future core;;;;;
Electronic;broken beat;;;;;;
Electronic;Celtic electronica;;;;;;
Electronic;Dance-pop;;;;;;
Electronic;dubtronica;ambient dub;;;;;
Electronic;dubtronica;dub techno;;;;;
Electronic;dubtronica;psydub;;;;;
Electronic;ethnic electronica;Asian Underground;;;;;
Electronic;folktronica;;;;;;
Electronic;funktronica;;;;;;
Electronic;indietronica;glitch pop;;;;;
Electronic;livetronica;;;;;;
Electronic;nu jazz;jazzdance;;;;;
Electronic;Synth-pop;;;;;;
Electronic;trip hop;trip bit;;;;;
electronic music;A&D;;;;;;
electronic music;acholitronix;;;;;;
electronic music;acid music;acid breaks;;;;;
electronic music;acid music;acid house;;;;;
electronic music;acid music;acid techno;acidcore;;;;
electronic music;acid music;acid trance;;;;;
electronic music;acid music;acidcore;;;;;
electronic music;aliencore;;;;;;
electronic music;alternative electronic;;;;;;
electronic music;beatdown;;;;;;
electronic music;binaural beats;;;;;;
electronic music;bit music;1-bit music;;;;;
electronic music;bit music;8-bit music;;;;;
electronic music;bit music;bitpop;;;;;
electronic music;bit music;bytebeat;;;;;
electronic music;bit music;chiptune;Nintendocore;;;;
electronic music;bit music;chiptune;skweee;;;;
electronic music;bit music;FM synthesis;;;;;
electronic music;bit music;MIDI music;black MIDI;;;;
electronic music;bit music;sampler-based music;tracker music;amigacore;;;
electronic music;bit music;sampler-based music;tracker music;demostyle;;;
electronic music;bit music;sampler-based music;tracker music;doskpop;;;
electronic music;Chilean electronic music;;;;;;
electronic music;chill-out music;ambient breakbeat;;;;;
electronic music;chill-out music;ambient dub;;;;;
electronic music;chill-out music;ambient house;;;;;
electronic music;chill-out music;ambient techno;;;;;
electronic music;chill-out music;ambient trance;;;;;
electronic music;chill-out music;Balearic beat;;;;;
electronic music;chill-out music;Balearic trance;;;;;
electronic music;chill-out music;barber beats;;;;;
electronic music;chill-out music;chillstep;;;;;
electronic music;chill-out music;downtempo;trip hop;trip bit;;;
electronic music;chill-out music;flamenco chill;;;;;
electronic music;chill-out music;lofi hip-hop;;;;;
electronic music;chill-out music;psybient;;;;;
electronic music;chill-out music;psydub;;;;;
electronic music;chillwave;chillsynth;;;;;
electronic music;classical electronic music;neo-classic music;;;;;
electronic music;digital fusion;;;;;;
electronic music;disk drive music;;;;;;
electronic music;drift phonk;Brazilian phonk;;;;;
electronic music;drift phonk;phonk house;;;;;
electronic music;electro dub;;;;;;
electronic music;electro-folk;;;;;;
electronic music;electro-goth;;;;;;
electronic music;electro-industrial;dark electro;aggrotech;cyber metal;;;
electronic music;electro-industrial;midtempo bass;;;;;
electronic music;electro-orchestral music;;;;;;
electronic music;electro-R&B;;;;;;
electronic music;electroacoustic music;acousmatic music;;;;;
electronic music;electroacoustic music;electroacoustic improvisation;;;;;
electronic music;electroacoustic music;fixed media;;;;;
electronic music;electroacoustic music;live electronic music;;;;;
electronic music;electroacoustic music;musique concrète;;;;;
electronic music;electrogaze;;;;;;
electronic music;Electronic;broken beat;;;;;
electronic music;Electronic;Celtic electronica;;;;;
electronic music;Electronic;Dance-pop;;;;;
electronic music;Electronic;dubtronica;ambient dub;;;;
electronic music;Electronic;dubtronica;dub techno;;;;
electronic music;Electronic;dubtronica;psydub;;;;
electronic music;Electronic;ethnic electronica;Asian Underground;;;;
electronic music;Electronic;folktronica;;;;;
electronic music;Electronic;funktronica;;;;;
electronic music;Electronic;indietronica;glitch pop;;;;
electronic music;Electronic;livetronica;;;;;
electronic music;Electronic;nu jazz;jazzdance;;;;
electronic music;Electronic;Synth-pop;;;;;
electronic music;Electronic;trip hop;trip bit;;;;
electronic music;electronic dance music;Bahia house;;;;;
electronic music;electronic dance music;bakalao;;;;;
electronic music;electronic dance music;balani show;;;;;
electronic music;electronic dance music;Balearic beat;;;;;
electronic music;electronic dance music;bass;;;;;
electronic music;electronic dance music;bass music (EDM);bass house;speed house;;;
electronic music;electronic dance music;bass music (EDM);bassline;UK jackin';;;
electronic music;electronic dance music;bass music (EDM);bubblegum bass;;;;
electronic music;electronic dance music;bass music (EDM);dubstep;autonomic;;;
electronic music;electronic dance music;bass music (EDM);dubstep;brostep;briddim;;
electronic music;electronic dance music;bass music (EDM);dubstep;brostep;colour bass;;
electronic music;electronic dance music;bass music (EDM);dubstep;brostep;dariacore;;
electronic music;electronic dance music;bass music (EDM);dubstep;brostep;deathstep;minatory;
electronic music;electronic dance music;bass music (EDM);dubstep;brostep;deathstep;tearout brostep;
electronic music;electronic dance music;bass music (EDM);dubstep;brostep;drumstep;;
electronic music;electronic dance music;bass music (EDM);dubstep;brostep;riddim;colour bass;
electronic music;electronic dance music;bass music (EDM);dubstep;brostep;riddim;future riddim;
electronic music;electronic dance music;bass music (EDM);dubstep;brostep;tearout brostep;;
electronic music;electronic dance music;bass music (EDM);dubstep;chillstep;;;
electronic music;electronic dance music;bass music (EDM);dubstep;dungeon sound;;;
electronic music;electronic dance music;bass music (EDM);dubstep;grime;Burban;;
electronic music;electronic dance music;bass music (EDM);dubstep;grime;Finnish grime;;
electronic music;electronic dance music;bass music (EDM);dubstep;grime;grindie;;
electronic music;electronic dance music;bass music (EDM);dubstep;grime;neo-grime;;
electronic music;electronic dance music;bass music (EDM);dubstep;grime;rhythm & grime;;
electronic music;electronic dance music;bass music (EDM);dubstep;grime;sinogrime;;
electronic music;electronic dance music;bass music (EDM);dubstep;grime;weightless;;
electronic music;electronic dance music;bass music (EDM);dubstep;melodic dubstep;colour bass;;
electronic music;electronic dance music;bass music (EDM);dubstep;nightstep;;;
electronic music;electronic dance music;bass music (EDM);dubstep;purple sound;;;
electronic music;electronic dance music;bass music (EDM);dubstep;reggaestep;;;
electronic music;electronic dance music;bass music (EDM);dubstep;riddim;colour bass;;
electronic music;electronic dance music;bass music (EDM);dubstep;riddim;future riddim;;
electronic music;electronic dance music;bass music (EDM);dubstep;tearout dubstep;riddim;colour bass;
electronic music;electronic dance music;bass music (EDM);dubstep;tearout dubstep;riddim;future riddim;
electronic music;electronic dance music;bass music (EDM);EDM trap music;festival trap;;;
electronic music;electronic dance music;bass music (EDM);EDM trap music;future trap;;;
electronic music;electronic dance music;bass music (EDM);EDM trap music;hard trap;;;
electronic music;electronic dance music;bass music (EDM);EDM trap music;heaven trap;;;
electronic music;electronic dance music;bass music (EDM);EDM trap music;hybrid trap;;;
electronic music;electronic dance music;bass music (EDM);EDM trap music;twerk;;;
electronic music;electronic dance music;bass music (EDM);footwork;footwork jungle;;;
electronic music;electronic dance music;bass music (EDM);funkstep;;;;
electronic music;electronic dance music;bass music (EDM);future bass;future trap;;;
electronic music;electronic dance music;bass music (EDM);future bass;kawaii future bass;future core;;
electronic music;electronic dance music;bass music (EDM);future bass;melodic bass;;;
electronic music;electronic dance music;bass music (EDM);hardwave;;;;
electronic music;electronic dance music;bass music (EDM);jungle terror;;;;
electronic music;electronic dance music;bass music (EDM);melodic bass;;;;
electronic music;electronic dance music;bass music (EDM);midtempo bass;;;;
electronic music;electronic dance music;bass music (EDM);moombahcore;;;;
electronic music;electronic dance music;bass music (EDM);UK bass;;;;
electronic music;electronic dance music;bass music (EDM);wave;hardwave;;;
electronic music;electronic dance music;bass music (EDM);wave;neo-grime;;;
electronic music;electronic dance music;bloghouse;;;;;
electronic music;electronic dance music;breakbeat;acid breaks;;;;
electronic music;electronic dance music;breakbeat;ambient breakbeat;;;;
electronic music;electronic dance music;breakbeat;Baltimore club;;;;
electronic music;electronic dance music;breakbeat;big beat;;;;
electronic music;electronic dance music;breakbeat;breakbeat hardcore;4-beat;;;
electronic music;electronic dance music;breakbeat;breakbeat hardcore;hardcore breaks;;;
electronic music;electronic dance music;breakbeat;breakbeat kota;jungle dutch;;;
electronic music;electronic dance music;breakbeat;breaktrance;;;;
electronic music;electronic dance music;breakbeat;Florida breaks;;;;
electronic music;electronic dance music;breakbeat;funky breaks;;;;
electronic music;electronic dance music;breakbeat;nu skool breaks;psybreaks;;;
electronic music;electronic dance music;breakbeat;progressive breaks;;;;
electronic music;electronic dance music;breakbeat;psybreaks;;;;
electronic music;electronic dance music;breakbeat;West Coast breaks;;;;
electronic music;electronic dance music;breaks;;;;;
electronic music;electronic dance music;broken beat;;;;;
electronic music;electronic dance music;bubbling;;;;;
electronic music;electronic dance music;budots;;;;;
electronic music;electronic dance music;Christian electronic dance music;;;;;
electronic music;electronic dance music;coupé-décalé;;;;;
electronic music;electronic dance music;cruise;;;;;
electronic music;electronic dance music;dariacore;;;;;
electronic music;electronic dance music;dark disco;;;;;
electronic music;electronic dance music;dek bass;;;;;
electronic music;electronic dance music;dreck-electro;;;;;
electronic music;electronic dance music;drum and bass;dancefloor drum and bass;;;;
electronic music;electronic dance music;drum and bass;darkstep;crossbreed;;;
electronic music;electronic dance music;drum and bass;darkstep;skullstep;;;
electronic music;electronic dance music;drum and bass;deep drum and bass;;;;
electronic music;electronic dance music;drum and bass;drill and bass;;;;
electronic music;electronic dance music;drum and bass;Drum and bass electronic rock;;;;
electronic music;electronic dance music;drum and bass;drumfunk;;;;
electronic music;electronic dance music;drum and bass;drumstep;;;;
electronic music;electronic dance music;drum and bass;dubwise drum and bass;;;;
electronic music;electronic dance music;drum and bass;footwork jungle;;;;
electronic music;electronic dance music;drum and bass;halfstep;;;;
electronic music;electronic dance music;drum and bass;halftime;;;;
electronic music;electronic dance music;drum and bass;hardstep;;;;
electronic music;electronic dance music;drum and bass;industrial drum and bass;;;;
electronic music;electronic dance music;drum and bass;intelligent drum and bass;artcore drum and bass;;;
electronic music;electronic dance music;drum and bass;intelligent drum and bass;atmospheric drum and bass;;;
electronic music;electronic dance music;drum and bass;intelligent drum and bass;jazzstep;;;
electronic music;electronic dance music;drum and bass;jump-up;clownstep;;;
electronic music;electronic dance music;drum and bass;jungle;experimental jungle;;;
electronic music;electronic dance music;drum and bass;jungle;grime;Burban;;
electronic music;electronic dance music;drum and bass;jungle;grime;Finnish grime;;
electronic music;electronic dance music;drum and bass;jungle;grime;grindie;;
electronic music;electronic dance music;drum and bass;jungle;grime;neo-grime;;
electronic music;electronic dance music;drum and bass;jungle;grime;rhythm & grime;;
electronic music;electronic dance music;drum and bass;jungle;grime;sinogrime;;
electronic music;electronic dance music;drum and bass;jungle;grime;weightless;;
electronic music;electronic dance music;drum and bass;jungle;ragga jungle;raggacore;;
electronic music;electronic dance music;drum and bass;liquid funk;;;;
electronic music;electronic dance music;drum and bass;meme techno;;;;
electronic music;electronic dance music;drum and bass;minimal drum and bass;autonomic;;;
electronic music;electronic dance music;drum and bass;minimal drum and bass;microfunk;;;
electronic music;electronic dance music;drum and bass;neurofunk;;;;
electronic music;electronic dance music;drum and bass;sambass;;;;
electronic music;electronic dance music;drum and bass;technoid;;;;
electronic music;electronic dance music;drum and bass;techstep;;;;
electronic music;electronic dance music;drum and bass;trancestep;;;;
electronic music;electronic dance music;electro;electro-techno;;;;
electronic music;electronic dance music;electro;experimental electro;;;;
electronic music;electronic dance music;electro;neo-electro;;;;
electronic music;electronic dance music;electro;techno bass;car audio bass;;;
electronic music;electronic dance music;electro latino;;;;;
electronic music;electronic dance music;electro swing;;;;;
electronic music;electronic dance music;electro-disco;Hi-NRG;;;;
electronic music;electronic dance music;electro-disco;Italo disco;funktronica;;;
electronic music;electronic dance music;electro-disco;Italo disco;Sabadell Sound;;;
electronic music;electronic dance music;electro-disco;red disco;;;;
electronic music;electronic dance music;electro-disco;space disco;;;;
electronic music;electronic dance music;electro-jazz;;;;;
electronic music;electronic dance music;electroclash;electropop;electro hop;;;
electronic music;electronic dance music;electronic body music;anhalt EBM;;;;
electronic music;electronic dance music;electronic body music;cyber metal;;;;
electronic music;electronic dance music;electronic body music;cybergoth music;;;;
electronic music;electronic dance music;electronic body music;dark disco;;;;
electronic music;electronic dance music;electronic body music;dark electro;aggrotech;cyber metal;;
electronic music;electronic dance music;electronic body music;electro;electro-techno;;;
electronic music;electronic dance music;electronic body music;electro;experimental electro;;;
electronic music;electronic dance music;electronic body music;electro;neo-electro;;;
electronic music;electronic dance music;electronic body music;electro;techno bass;car audio bass;;
electronic music;electronic dance music;electronic body music;electro-industrial;dark electro;aggrotech;cyber metal;
electronic music;electronic dance music;electronic body music;electro-industrial;midtempo bass;;;
electronic music;electronic dance music;electronic body music;futurepop;;;;
electronic music;electronic dance music;electronic body music;new beat;dark disco;;;
electronic music;electronic dance music;electronic body music;new beat;hard beat;;;
electronic music;electronic dance music;electronic body music;new beat;midtempo bass;;;
electronic music;electronic dance music;electronic body music;old school EBM;;;;
electronic music;electronic dance music;electronic body music;techno body music;;;;
electronic music;electronic dance music;electrotango;;;;;
electronic music;electronic dance music;epadunk;;;;;
electronic music;electronic dance music;Eurobeat;j-euro;;;;
electronic music;electronic dance music;Eurodance;bubblegum dance;;;;
electronic music;electronic dance music;Eurodance;Italo dance;manyao;;;
electronic music;electronic dance music;Eurodance;vinahouse;;;;
electronic music;electronic dance music;experimental club music;deconstructed club;;;;
electronic music;electronic dance music;experimental club music;experimental techno;;;;
electronic music;electronic dance music;flex dance music;;;;;
electronic music;electronic dance music;freestyle music;Latin freestyle;;;;
electronic music;electronic dance music;funkot;breakbeat kota;jungle dutch;;;
electronic music;electronic dance music;future rave;;;;;
electronic music;electronic dance music;ghetto club;bérite club;;;;
electronic music;electronic dance music;ghetto club;East Coast club;Baltimore club;;;
electronic music;electronic dance music;ghetto club;East Coast club;Jersey club;dariacore;;
electronic music;electronic dance music;ghetto club;East Coast club;Jersey club;Jersey club rap;;
electronic music;electronic dance music;ghetto club;East Coast club;Jersey club;Jersey drill;;
electronic music;electronic dance music;ghetto club;East Coast club;Philly club;Philly club rap;;
electronic music;electronic dance music;glitch hop;;;;;
electronic music;electronic dance music;glitch hop (EDM);ghetto funk;;;;
electronic music;electronic dance music;glitch hop (EDM);neurohop;;;;
electronic music;electronic dance music;grime;Burban;;;;
electronic music;electronic dance music;grime;Finnish grime;;;;
electronic music;electronic dance music;grime;grindie;;;;
electronic music;electronic dance music;grime;neo-grime;;;;
electronic music;electronic dance music;grime;rhythm & grime;;;;
electronic music;electronic dance music;grime;sinogrime;;;;
electronic music;electronic dance music;grime;weightless;;;;
electronic music;electronic dance music;hard dance;dancecore;;;;
electronic music;electronic dance music;hard dance;hard house;poky;;;
electronic music;electronic dance music;hard dance;hard house;pumping house;hardbass;;
electronic music;electronic dance music;hard dance;hard house;scouse house;;;
electronic music;electronic dance music;hard dance;hard NRG;;;;
electronic music;electronic dance music;hard dance;hard trance;tech trance;;;
electronic music;electronic dance music;hard dance;hard trance;trancecore;;;
electronic music;electronic dance music;hard dance;hardstyle;dubstyle;;;
electronic music;electronic dance music;hard dance;hardstyle;early hardstyle;;;
electronic music;electronic dance music;hard dance;hardstyle;euphoric hardstyle;rawphoric;;
electronic music;electronic dance music;hard dance;hardstyle;psystyle;;;
electronic music;electronic dance music;hard dance;hardstyle;rawstyle;rawphoric;;
electronic music;electronic dance music;hard dance;hardtek;raggatek;;;
electronic music;electronic dance music;hard dance;jumpstyle;;;;
electronic music;electronic dance music;hard dance;lento violento;;;;
electronic music;electronic dance music;hard dance;mainstream hardcore;darkcore;;;
electronic music;electronic dance music;hard dance;mákina;;;;
electronic music;electronic dance music;hard dance;speed house;;;;
electronic music;electronic dance music;hard dance;UK hardcore;future core;;;
electronic music;electronic dance music;hard dance;UK hardcore;powerstomp;;;
electronic music;electronic dance music;hard dance;uptempo hardcore;;;;
electronic music;electronic dance music;hard drum;;;;;
electronic music;electronic dance music;hardcore;acidcore;;;;
electronic music;electronic dance music;hardcore;amigacore;;;;
electronic music;electronic dance music;hardcore;artcore;;;;
electronic music;electronic dance music;hardcore;Belgian hardcore techno;;;;
electronic music;electronic dance music;hardcore;breakbeat hardcore;4-beat;;;
electronic music;electronic dance music;hardcore;breakbeat hardcore;darkcore;;;
electronic music;electronic dance music;hardcore;breakbeat hardcore;hardcore breaks;;;
electronic music;electronic dance music;hardcore;breakcore;J-core;future core;;
electronic music;electronic dance music;hardcore;breakcore;lolicore;;;
electronic music;electronic dance music;hardcore;breakcore;mashcore;dariacore;;
electronic music;electronic dance music;hardcore;breakcore;raggacore;;;
electronic music;electronic dance music;hardcore;crossbreed;;;;
electronic music;electronic dance music;hardcore;dancecore;;;;
electronic music;electronic dance music;hardcore;dariacore;;;;
electronic music;electronic dance music;hardcore;darkcore;;;;
electronic music;electronic dance music;hardcore;deathchant hardcore;;;;
electronic music;electronic dance music;hardcore;deathcore;downtempo deathcore;;;
electronic music;electronic dance music;hardcore;deathcore;electro deathcore;;;
electronic music;electronic dance music;hardcore;deathcore;nu deathcore;;;
electronic music;electronic dance music;hardcore;digital hardcore;;;;
electronic music;electronic dance music;hardcore;doomcore;darkcore;;;
electronic music;electronic dance music;hardcore;freeform hardcore;;;;
electronic music;electronic dance music;hardcore;Frenchcore;;;;
electronic music;electronic dance music;hardcore;gabber;early hardcore;;;
electronic music;electronic dance music;hardcore;gabber;gabber metal;;;
electronic music;electronic dance music;hardcore;gabber;gabber punk;;;
electronic music;electronic dance music;hardcore;gabber;gabberpop;;;
electronic music;electronic dance music;hardcore;gabber;J-core;future core;;
electronic music;electronic dance music;hardcore;gabber;mainstream hardcore;darkcore;;
electronic music;electronic dance music;hardcore;gabber;trancecore;;;
electronic music;electronic dance music;hardcore;gabber metal;;;;
electronic music;electronic dance music;hardcore;happy hardcore;4-beat;;;
electronic music;electronic dance music;hardcore;happy hardcore;bouncy techno;;;
electronic music;electronic dance music;hardcore;happy hardcore;J-core;future core;;
electronic music;electronic dance music;hardcore;happy hardcore;UK hardcore;future core;;
electronic music;electronic dance music;hardcore;happy hardcore;UK hardcore;powerstomp;;
electronic music;electronic dance music;hardcore;hard IDM;;;;
electronic music;electronic dance music;hardcore;industrial hardcore;darkcore;;;
electronic music;electronic dance music;hardcore;J-core;future core;;;
electronic music;electronic dance music;hardcore;speedbass;;;;
electronic music;electronic dance music;hardcore;speedcore;extratone;;;
electronic music;electronic dance music;hardcore;speedcore;hypertone;;;
electronic music;electronic dance music;hardcore;speedcore;J-core;future core;;
electronic music;electronic dance music;hardcore;speedcore;splittercore;;;
electronic music;electronic dance music;hardcore;speedcore;supertone;;;
electronic music;electronic dance music;hardcore;terrorcore;;;;
electronic music;electronic dance music;hardcore;trancecore;;;;
electronic music;electronic dance music;hardcore;tribe;;;;
electronic music;electronic dance music;hardcore;uptempo hardcore;;;;
electronic music;electronic dance music;Hardcore Continuum;;;;;
electronic music;electronic dance music;hardvapour;;;;;
electronic music;electronic dance music;house music;acid house;;;;
electronic music;electronic dance music;house music;Afro house;3-step;;;
electronic music;electronic dance music;house music;Afro house;Afro tech;;;
electronic music;electronic dance music;house music;amapiano;Afropiano;;;
electronic music;electronic dance music;house music;ambient house;;;;
electronic music;electronic dance music;house music;ballroom;;;;
electronic music;electronic dance music;house music;Baltimore club;;;;
electronic music;electronic dance music;house music;bass house;speed house;;;
electronic music;electronic dance music;house music;big room house;future rave;;;
electronic music;electronic dance music;house music;Brazilian bass;mega funk;;;
electronic music;electronic dance music;house music;Brazilian bass;slap house;;;
electronic music;electronic dance music;house music;bubbling house;;;;
electronic music;electronic dance music;house music;changa tuki;;;;
electronic music;electronic dance music;house music;Chicago hard house;LA hard house;;;
electronic music;electronic dance music;house music;Chicago house;;;;
electronic music;electronic dance music;house music;circuit house;;;;
electronic music;electronic dance music;house music;club house;;;;
electronic music;electronic dance music;house music;dark house;;;;
electronic music;electronic dance music;house music;deep house;lo-fi house;;;
electronic music;electronic dance music;house music;deep house;melodic house;;;
electronic music;electronic dance music;house music;Detroit house;;;;
electronic music;electronic dance music;house music;disco house;;;;
electronic music;electronic dance music;house music;diva house;hardbag;;;
electronic music;electronic dance music;house music;dream house;;;;
electronic music;electronic dance music;house music;electro house;complextro;;;
electronic music;electronic dance music;house music;electro house;Dutch house;noiadance;;
electronic music;electronic dance music;house music;electro house;electro hop;;;
electronic music;electronic dance music;house music;electro house;electro trance;;;
electronic music;electronic dance music;house music;electro house;electropop;electro hop;;
electronic music;electronic dance music;house music;electro house;fidget house;;;
electronic music;electronic dance music;house music;electro house;French electro;darksynth;;
electronic music;electronic dance music;house music;electro house;Melbourne bounce;;;
electronic music;electronic dance music;house music;electro house;progressive electro house;;;
electronic music;electronic dance music;house music;electro urban;;;;
electronic music;electronic dance music;house music;eletrofunk;;;;
electronic music;electronic dance music;house music;epic house;;;;
electronic music;electronic dance music;house music;Eurohouse;hardbag;;;
electronic music;electronic dance music;house music;festival progressive house;;;;
electronic music;electronic dance music;house music;filter house;;;;
electronic music;electronic dance music;house music;French house;;;;
electronic music;electronic dance music;house music;funky house;;;;
